token,count
介護職員初任者研修(旧ヘルパー2級)自動車運転免許,4389
介護福祉士自動車運転免許,3551
介護福祉士介護職員実務者研修(旧ヘルパー1級,2695
基礎研修)介護職員初任者研修(旧ヘルパー2級)自動車運転免許,2003
基礎研修)自動車運転免許,1402
介護福祉士介護職員初任者研修(旧ヘルパー2級)自動車運転免許,1353
基礎研修)介護職員初任者研修(旧ヘルパー2級),825
介護福祉士介護職員初任者研修(旧ヘルパー2級),442
介護福祉士社会福祉主事任用資格自動車運転免許,364
介護支援専門員(ケアマネジャー)介護福祉士,329
介護福祉士 取得予定(1年以内)介護職員実務者研修(旧ヘルパー1級,256
介護支援専門員(ケアマネジャー)介護福祉士自動車運転免許,242
准看護師自動車運転免許,227
看護師自動車運転免許,164
介護職員初任者研修(旧ヘルパー2級) 取得予定(1年以内)自動車運転免許,155
介護福祉士社会福祉主事任用資格,155
介護支援専門員(ケアマネジャー)介護福祉士介護職員初任者研修(旧ヘルパー2級)自動車運転免許,147
介護職員初任者研修(旧ヘルパー2級)社会福祉主事任用資格自動車運転免許,124
基礎研修) 取得予定(1年以内)介護職員初任者研修(旧ヘルパー2級)自動車運転免許,122
介護福祉士介護職員初任者研修(旧ヘルパー2級)社会福祉主事任用資格自動車運転免許,113
医療事務資格(民間)自動車運転免許,97
介護支援専門員(ケアマネジャー)介護福祉士介護職員実務者研修(旧ヘルパー1級,97
基礎研修)介護職員初任者研修(旧ヘルパー2級)社会福祉主事任用資格自動車運転免許,93
介護職員初任者研修(旧ヘルパー2級)医療事務資格(民間)自動車運転免許,85
社会福祉主事任用資格自動車運転免許,81
調理師自動車運転免許,78
看護師准看護師自動車運転免許,62
介護職員初任者研修(旧ヘルパー2級)自動車運転免許 取得予定(1年以内),59
基礎研修) 取得予定(1年以内)自動車運転免許,57
基礎研修)社会福祉主事任用資格自動車運転免許,53
基礎研修)介護職員初任者研修(旧ヘルパー2級)自動車運転免許福祉用具専門相談員,53
介護支援専門員(ケアマネジャー)自動車運転免許,52
介護支援専門員(ケアマネジャー)介護福祉士社会福祉主事任用資格自動車運転免許,50
基礎研修) 取得予定(1年以内)介護職員初任者研修(旧ヘルパー2級),48
介護支援専門員(ケアマネジャー)介護福祉士介護職員初任者研修(旧ヘルパー2級),41
准看護師介護福祉士自動車運転免許,40
介護職員初任者研修(旧ヘルパー2級)社会福祉主事任用資格,38
介護福祉士保育士幼稚園教諭自動車運転免許,37
介護職員初任者研修(旧ヘルパー2級)保育士幼稚園教諭自動車運転免許,34
介護福祉士医療事務資格(民間)自動車運転免許,34
基礎研修)介護職員初任者研修(旧ヘルパー2級)医療事務資格(民間)自動車運転免許,34
介護福祉士社会福祉士自動車運転免許,34
介護福祉士 取得予定(1年以内)自動車運転免許,32
医療事務資格(民間)調剤事務資格(民間)自動車運転免許,32
