token,count
介護職,7487
ヘルパー,7487
生活支援員,1410
生活相談員,580
サービス提供責任者,462
医療事務,462
受付,462
看護助手,419
管理職,353
児童指導員,344
指導員,344
ドライバー,335
介護事務,300
介護タクシー,291
調理師,232
調理スタッフ,232
総合職,221
新卒,221
その他,221
ケアマネジャー,219
サービス管理責任者,201
看護師,200
准看護師,200
福祉用具専門相談員,139
歯科助手,128
保育士,126
保育補助,125
児童発達支援管理責任者,107
相談支援専門員,99
調剤事務,90
放課後児童支援員,84
学童指導員,84
エステティシャン,83
セラピスト,83
インストラクター,80
整体師,76
一般事務,63
管理部門,63
清掃,48
環境整備,48
配達員,44
幼稚園教諭,36
医療ソーシャルワーカー,33
ネイリスト,33
管理栄養士,31
栄養士,31
営業,30
登録販売者,28
美容部員,28
理学療法士,24
鍼灸師,22
柔道整復師,20
歯科衛生士,19
公認心理師,17
臨床心理士,17
美容師,16
あん摩マッサージ指圧師,15
作業療法士,14
薬剤師,13
治験コーディネーター,9
言語聴覚士,8
臨床検査技師,8
歯科技工士,6
医師,6
アイリスト,6
保健師,6
理容師,5
MS,4
視能訓練士,4
歯科医師,3
助産師,3
MR,2
診療放射線技師,2
臨床工学技士,1
