token,count
福祉科(高等学校),40
(高等学校)(2014年3月卒業),35
普通科(高等学校)(2012年3月卒業),34
普通科(高等学校)(1992年3月卒業),34
普通科(高等学校)(1995年3月卒業),33
普通科(高等学校)(2014年3月卒業),32
普通科(高等学校)(2004年3月卒業),29
Life Science Endocrinology (大学院(修士))(2019年8月卒業),25
普通科(高等学校)(1993年3月卒業),25
普通科(高等学校)(1979年3月卒業),24
(高等学校)(2016年3月卒業),22
(高等学校)(2003年3月卒業),22
(高等学校)(1991年3月卒業),22
(高等学校)(2019年3月卒業),22
普通科(高等学校)(1982年3月卒業),21
家政科(高等学校),20
(高等学校)(2010年3月卒業),20
(高等学校)(2009年3月卒業),20
普通科(その他),20
(高等学校)(1999年3月卒業),19
(高等学校)(2005年3月卒業),19
普通科(高等学校)(2008年3月卒業),18
普通科(高等学校)(2005年3月卒業),18
普通科(高等学校)(2010年3月卒業),18
普通科(高等学校)(2016年3月卒業),18
(高等学校)(1994年3月卒業),18
商業科,18
介護福祉科(専門学校),18
(高等学校)(1981年3月卒業),17
普通科(高等学校)(2007年3月卒業),17
普通科(高等学校)(1999年3月卒業),17
(高等学校)(1980年3月卒業),16
(高等学校)(1983年3月卒業),16
(専門学校)(1992年3月卒業),16
普通科(高等学校)(2019年3月卒業),16
(高等学校)(1989年3月卒業),15
(専門学校)(2000年3月卒業),15
商業科(高等学校)(1994年3月卒業),15
(高等学校)(2012年3月卒業),14
(高等学校)(2015年3月卒業),14
(高等学校)(1978年3月卒業),14
商業科(高等学校)(1998年3月卒業),14
(高等学校)(2001年3月卒業),14
(専門学校)(1990年3月卒業),14
(専門学校)(1994年3月卒業),13
普通科(高等学校)(2011年3月卒業),13
商業科(高等学校)(1989年3月卒業),13
(高等学校)(1997年3月卒業),13
(高等学校)(2017年3月卒業),13
商業科(高等学校)(1985年3月卒業),13
商業科(高等学校)(1991年3月卒業),13
(高等学校)(1995年3月卒業),12
(高等学校)(1982年3月卒業),12
(高等学校)(1985年3月卒業),12
普通科(1989年3月卒業),12
保険福祉学部人間福祉学科社会福祉(大学)(2014年3月卒業),12
(専門学校)(1984年3月卒業),11
保育科(短期大学),11
福祉科(専門学校)(1998年3月卒業),11
歯学部歯学科(大学)(2019年3月卒業),11
幼児教育学科(短期大学),11
福祉科(高等学校)(2010年3月卒業),11
