urgency_rank,age_group,count,avg_age,avg_urgency_score
A: 高い,20代,12,26.083333333333332,7.5
A: 高い,30代,27,34.55555555555556,7.148148148148148
A: 高い,40代,44,45.0,7.136363636363637
A: 高い,50代,54,54.7037037037037,7.148148148148148
A: 高い,60代,38,64.5,7.2631578947368425
A: 高い,70歳以上,12,73.83333333333333,7.666666666666667
B: 中程度,20代,173,25.69364161849711,5.294797687861272
B: 中程度,30代,261,34.524904214559385,5.306513409961686
B: 中程度,40代,356,45.06741573033708,5.359550561797753
B: 中程度,50代,414,54.11835748792271,5.371980676328502
B: 中程度,60代,269,63.79925650557621,5.33457249070632
B: 中程度,70歳以上,89,73.38202247191012,5.348314606741573
C: やや低い,20代,556,25.309352517985612,3.3902877697841727
C: やや低い,30代,664,34.51204819277108,3.4683734939759034
C: やや低い,40代,892,44.63789237668161,3.4562780269058297
C: やや低い,50代,1094,54.554844606946986,3.4387568555758685
C: やや低い,60代,743,63.959623149394346,3.442799461641992
C: やや低い,70歳以上,238,74.02100840336135,3.4201680672268906
D: 低い,20代,489,23.175869120654397,1.5112474437627812
D: 低い,30代,193,34.49222797927461,1.9430051813471503
D: 低い,40代,208,44.89423076923077,1.9375
D: 低い,50代,321,54.56697819314642,1.9470404984423677
D: 低い,60代,267,63.674157303370784,1.9775280898876404
D: 低い,70歳以上,73,74.5068493150685,2.0
