urgency_rank,employment_status,count,avg_age,avg_urgency_score
A: 高い,在学中,1,47.0,7.0
A: 高い,就業中,54,50.425925925925924,7.277777777777778
A: 高い,離職中,132,51.11363636363637,7.204545454545454
B: 中程度,在学中,5,37.8,5.2
B: 中程度,就業中,863,48.738122827346466,5.297798377752028
B: 中程度,離職中,694,48.05187319884726,5.3976945244956775
C: やや低い,在学中,43,34.093023255813954,3.3488372093023258
C: やや低い,就業中,2671,48.22575814301759,3.3717708723324598
C: やや低い,離職中,1473,48.43856076035302,3.56754921928038
D: 低い,在学中,400,25.9425,1.33
D: 低い,就業中,1128,49.416666666666664,1.9840425531914894
D: 低い,離職中,22,51.68181818181818,2.0
